OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,GEOID_Data,Census_Tra,County,County_ID,Region,ind_id,ind_defini,reportyear,race_eth_c,race_eth_n,geotype,geotypeval,F8,Tract_Num,geoname,county_nam,county_fip,region_nam,region_cod,strata_one,strata_o_1,strata_two,strata_t_1,numerator,denominato,estimate,ll_95ci,ul_95ci,se,rse,CA_decile,CA_RR,version,PCT_overcr,ObjectID,Shape_Leng,Shape__Area,Shape__Length
1,06,001,442700,06001442700,4427,14000US06001442700,06001442700,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001442700,1,6001442700,4427,Alameda,06001,Bay Area,01,NA,NA,NA,NA,19,1075,1.8,0,7.23402755792,2.77246303975,154.02572443,NA,0.225,Mon Nov 06 12:46:42 2017,1.76744186047,295,0.0489456610398,1965993.3046875,6014.11724382665
2,06,001,442800,06001442800,4428,14000US06001442800,06001442800,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001442800,1,6001442800,4428,Alameda,06001,Bay Area,01,NA,NA,NA,NA,35,802,4.4,0,8.93705631839,2.31482465224,52.609651187,NA,0.55,Mon Nov 06 12:46:42 2017,4.36408977556,296,0.0492104627703,2036648.0390625,6009.71127439486
3,06,037,204920,06037204920,2049.20,14000US06037204920,06037204920,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037204920,1,6037204920,2049.2,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,179,615,29.1,12.9431230803,45.2568769197,8.24330455085,28.327507048,NA,3.6375,Mon Nov 06 12:46:42 2017,29.1056910569,1679,0.0386628066062,1327870.49609375,4711.6073032519
4,06,037,205110,06037205110,2051.10,14000US06037205110,06037205110,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037205110,1,6037205110,2051.1,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,583,886,65.8,51.229687811,80.370312189,7.43383274947,11.29761816,NA,8.225,Mon Nov 06 12:46:42 2017,65.8013544018,1680,0.0286768748566,418812.515625,3396.38881747031
5,06,037,205120,06037205120,2051.20,14000US06037205120,06037205120,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037205120,1,6037205120,2051.2,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,390,900,43.3,29.2601292053,57.3398707947,7.16319938507,16.543185647,NA,5.4125,Mon Nov 06 12:46:42 2017,43.3333333333,1681,0.0604882349641,2139491.77734375,7387.81199255407
6,06,037,206010,06037206010,2060.10,14000US06037206010,06037206010,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037206010,1,6037206010,2060.1,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,197,981,20,10.4494862304,29.5505137696,4.87271110695,24.363555535,NA,2.5,Mon Nov 06 12:46:42 2017,20.0815494393,1682,0.0634011993346,2101911.59375,7762.70870048739
7,06,037,206020,06037206020,2060.20,14000US06037206020,06037206020,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037206020,1,6037206020,2060.2,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,17,117,14.5,0,58.6211583467,22.5107950748,155.24686259,NA,1.8125,Mon Nov 06 12:46:42 2017,14.5299145299,1683,0.036443959551,1275889.9609375,4431.09288287369
8,06,037,206050,06037206050,2060.50,14000US06037206050,06037206050,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037206050,1,6037206050,2060.5,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,181,737,24.5,10.4889767254,38.5110232746,7.14848126254,29.177474541,NA,3.0625,Mon Nov 06 12:46:42 2017,24.5590230665,1686,0.0732358552277,2537036.46484375,9387.00585882653
9,06,001,442900,06001442900,4429,14000US06001442900,06001442900,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001442900,1,6001442900,4429,Alameda,06001,Bay Area,01,NA,NA,NA,NA,109,2072,5.3,0.554939429373,10.0450605706,2.42094927073,45.678288127,NA,0.6625,Mon Nov 06 12:46:42 2017,5.26061776062,297,0.0680341232333,3290632.3359375,8457.46501077453
10,06,037,192410,06037192410,1924.10,14000US06037192410,06037192410,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037192410,1,6037192410,1924.1,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,162,1706,9.5,3.77093058988,15.2290694101,2.922994597,30.768364179,NA,1.1875,Mon Nov 06 12:46:42 2017,9.4958968347,1600,0.0329031960935,999428.29296875,3999.12793013414
