Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,DAC category,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char.,Pop. Char. Score,Pop. Char. Pctl
06037204920,2751,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004,82.39,99.97,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.048,53.73,12.25164028,89.21,0.781,96.55,787.94,92.53,92.56,98.4,0,0,3682.693278,87.73,2522.622269,92.84,38.75,92.96,20.5,68.92,11.62,99.66,7,66.74,4.85,73.08,77.67,9.48,99.86,76.1,82.76,7.11,90.89,20.87,90.15,52.2,97.39,17.1,81.55,62.6,93.39,6.4,61.53,20.3,63.97,83.75,8.69,95.79
06037203300,2000,Los Angeles,90033,Los Angeles,-118.2077883,34.0588723,77.35,99.87,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.049,59.69,12.57687534,91.57,1.053,98.41,798.87,93.57,74.68,84.31,0,0,1894.993347,78.08,2125.866346,88.83,16.8,77.7,47.55,89.41,2.09,92.8,13,91.87,0.5,22.08,74.46,9.09,99.45,65.53,74.85,6.16,78.36,13.45,57.13,52.1,97.33,28.4,94.87,71.7,97.95,11.9,91.94,28.3,87.49,82.01,8.51,94.49
06037291220,3640,Los Angeles,90247,Los Angeles,-118.286709,33.8771395,77.25,99.86,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.041,24.88,12.0660607,82.35,0.637,94.08,805.57,94.04,66.07,74.22,66.5,74.14,19774.78971,99.52,3455.239256,97.63,16,76.73,37.55,84.71,7.28,98.84,16,96.26,4.2,70.9,81.9,10,100,64.77,74.05,7.77,95.43,12.99,53.75,31.6,81.93,20.1,86.75,51.5,83.49,4.5,37.71,26.1,82.79,74.47,7.73,86.01
06037243100,6772,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963,76.85,99.84,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.044,35.16,12.0902374,83.73,0.805,96.76,787.94,92.53,75.63,85.29,0,0,8878.613322,96.72,2484.965675,92.41,16.9,77.77,13.15,54.66,1.22,88.1,0,0,0.2,9.67,63.9,7.8,94.95,129.2,97.1,9.48,99.23,26.48,98.63,44.8,93.48,12.4,69.79,73.5,98.45,15.6,97.27,41.2,99,94.96,9.85,99.91
06037227010,5705,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,76.65,99.82,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.046,46.99,12.09940492,84.39,0.565,91.89,787.94,92.53,95.59,99.57,0,0,2762.896647,83.81,832.5616204,46.5,53.15,96.4,4.55,27.78,3.065,96.24,7,66.74,7.25,83.92,70.21,8.57,98.52,68.48,77.37,5.57,66.05,21.83,93.28,63.2,99.62,28.3,94.79,68.6,96.86,8.4,77.76,39.5,98.44,86.2,8.94,97.37
06037226001,2615,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835,76.52,99.81,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.046,46.99,12.15802236,87.29,0.629,93.86,787.94,92.53,97.66,99.96,0,0,2607.823324,83.11,2429.418553,91.94,49.05,95.6,8.6,42.16,4.435,97.45,7,66.74,9.5,89.83,75.76,9.25,99.68,72.02,79.92,5.24,58.56,13.67,58.35,44.6,93.36,28.1,94.63,71.9,98.02,9.6,84.58,40.8,98.87,79.75,8.27,92.36
06037239202,5999,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783,76.24,99.77,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.045,39.99,12.14495497,86.78,0.232,67.39,787.94,92.53,91.13,97.56,0,0,3873.586792,88.71,1052.626827,61.29,127.95,99.66,44.6,88.05,0.56,72.97,0,0,6,79.95,67.23,8.21,97.09,84.75,87.6,6.38,81.88,21.32,91.86,52.9,97.61,23.3,90.58,57.5,89.66,9.1,82.33,46,99.59,89.53,9.29,98.94
06037206050,2031,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,75.99,99.76,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.048,50.99,12.41537427,90.54,1.141,98.79,787.94,92.53,65.25,73.23,0,0,2566.769979,82.88,3665.685846,98.11,33.55,89.94,13.75,55.64,9.24,99.23,7,66.74,23.1,98.97,76.29,9.32,99.74,51.49,58.47,10.32,99.7,12.45,50.12,43.8,92.69,22.1,89.23,58.9,90.87,9.6,84.58,25.6,81.84,78.64,8.16,91.14
06037205120,3548,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546,75.72,99.75,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.047,50.54,12.27407804,89.42,0.571,92.08,787.94,92.53,88.26,95.63,0,0,4157.740072,90.01,928.4647117,53.66,58.65,97.18,20,68.42,22.27,99.97,7,66.74,6.5,81.19,74.56,9.1,99.49,76.1,82.76,5.88,72.85,20.87,90.15,59,99.14,22.4,89.62,82.3,99.62,3.3,21.11,26.1,82.79,80.19,8.32,92.71
06037226002,1820,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,75.55,99.72,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.047,50.54,12.25156535,89.2,0.704,95.46,787.94,92.53,64.02,71.59,0,0,2428.106649,82.25,1931.043768,85.94,58.7,97.2,28.3,78.12,6.875,98.76,7,66.74,15.05,96.04,76.42,9.33,99.76,134.16,97.66,5.83,71.64,14.79,65.09,25.7,74.41,24.4,91.81,44.5,75.4,8.7,79.72,21.4,68.54,78.05,8.1,90.41
