geoid,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
06037101110,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,"(34.2595555, -118.293602)",34.2595555,-118.293602
06037101122,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,"(34.267357, -118.29024)",34.267357,-118.29024
06037101210,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,"(34.251998, -118.2926875)",34.251998,-118.2926875
06037101220,"Census Tract 1012.20, Los Angeles County, California",101220,Tujunga,"(34.2511895, -118.281014)",34.2511895,-118.281014
06037101300,"Census Tract 1013, Los Angeles County, California",101300,Tujunga,"(34.2455945, -118.271731)",34.2455945,-118.271731
06037101400,"Census Tract 1014, Los Angeles County, California",101400,Tujunga,"(34.244255, -118.296428)",34.244255,-118.296428
06037102103,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,"(34.224155, -118.354339)",34.224155,-118.354339
06037102104,"Census Tract 1021.04, Los Angeles County, California",102104,Shadow Hills,"(34.216189, -118.3456235)",34.216189,-118.3456235
06037102105,"Census Tract 1021.05, Los Angeles County, California",102105,Sun Valley,"(34.210852, -118.3480495)",34.210852,-118.3480495
06037102107,"Census Tract 1021.07, Los Angeles County, California",102107,Shadow Hills,"(34.2412955, -118.3292705)",34.2412955,-118.3292705
06037103101,"Census Tract 1031.01, Los Angeles County, California",103101,Sunland,"(34.274431, -118.30714)",34.274431,-118.30714
06037103102,"Census Tract 1031.02, Los Angeles County, California",103102,Sunland,"(34.262834, -118.30683)",34.262834,-118.30683
06037103200,"Census Tract 1032, Los Angeles County, California",103200,Lake View Terrace,"(34.2745565, -118.3439025)",34.2745565,-118.3439025
06037103300,"Census Tract 1033, Los Angeles County, California",103300,Shadow Hills,"(34.255439, -118.3527775)",34.255439,-118.3527775
06037103400,"Census Tract 1034, Los Angeles County, California",103400,Sunland,"(34.253933, -118.3147245)",34.253933,-118.3147245
06037104103,"Census Tract 1041.03, Los Angeles County, California",104103,Lake View Terrace,"(34.2819045, -118.3918905)",34.2819045,-118.3918905
06037104105,"Census Tract 1041.05, Los Angeles County, California",104105,Pacoima,"(34.276146, -118.404645)",34.276146,-118.404645
06037104108,"Census Tract 1041.08, Los Angeles County, California",104108,Pacoima,"(34.271671, -118.397614)",34.271671,-118.397614
06037104124,"Census Tract 1041.24, Los Angeles County, California",104124,Lopez/Kagel Canyons,"(34.287866, -118.376208)",34.287866,-118.376208
06037104201,"Census Tract 1042.01, Los Angeles County, California",104201,Pacoima,"(34.2867415, -118.4160805)",34.2867415,-118.4160805
06037104203,"Census Tract 1042.03, Los Angeles County, California",104203,Pacoima,"(34.279058, -118.411554)",34.279058,-118.411554
06037104204,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,"(34.2886315, -118.396898)",34.2886315,-118.396898
06037104310,"Census Tract 1043.10, Los Angeles County, California",104310,Pacoima,"(34.2762555, -118.4293915)",34.2762555,-118.4293915
06037104320,"Census Tract 1043.20, Los Angeles County, California",104320,Pacoima,"(34.27316, -118.4202235)",34.27316,-118.4202235
06037104401,"Census Tract 1044.01, Los Angeles County, California",104401,Pacoima,"(34.2670615, -118.433071)",34.2670615,-118.433071
06037104403,"Census Tract 1044.03, Los Angeles County, California",104403,Pacoima,"(34.2589085, -118.4345385)",34.2589085,-118.4345385
06037104404,"Census Tract 1044.04, Los Angeles County, California",104404,Pacoima,"(34.2639205, -118.4286915)",34.2639205,-118.4286915
06037104500,"Census Tract 1045, Los Angeles County, California",104500,Pacoima,"(34.25551, -118.4257485)",34.25551,-118.4257485
06037104610,"Census Tract 1046.10, Los Angeles County, California",104610,Pacoima,"(34.2604335, -118.4189955)",34.2604335,-118.4189955
