FIPS,name,Total Households,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999",Households: $200K or Above,≤ $35K (30% AMI),≤ $60K (50% AMI)
06037101110,"Census Tract 1011.10, Los Angeles, CA",1494,54,126,49,33,61,6,60,85,43,149,105,146,210,134,143,90,329,666
06037101122,"Census Tract 1011.22, Los Angeles, CA",1372,88,0,7,42,50,36,0,13,0,37,200,158,126,194,168,253,223,273
06037101220,"Census Tract 1012.20, Los Angeles, CA",1357,78,82,28,102,7,86,43,55,36,189,89,134,116,60,140,112,383,706
06037101221,"Census Tract 1012.21, Los Angeles, CA",1450,76,107,118,148,0,81,111,27,97,112,32,193,207,33,108,0,530,877
06037101222,"Census Tract 1012.22, Los Angeles, CA",935,161,167,34,41,19,116,0,86,14,35,44,96,9,81,0,32,538,673
06037101300,"Census Tract 1013, Los Angeles, CA",1420,68,27,37,15,43,44,41,16,14,40,123,132,188,161,221,250,234,345
06037101400,"Census Tract 1014, Los Angeles, CA",1304,7,98,57,176,29,25,25,45,63,82,68,92,208,59,173,97,392,607
06037102103,"Census Tract 1021.03, Los Angeles, CA",669,24,0,33,40,13,101,46,0,37,12,59,46,39,114,65,40,211,306
06037102104,"Census Tract 1021.04, Los Angeles, CA",1310,54,74,11,18,18,0,59,125,18,40,89,209,185,113,92,205,175,417
06037102105,"Census Tract 1021.05, Los Angeles, CA",554,5,21,13,6,45,0,20,13,21,74,25,145,20,18,80,48,90,218
06037102107,"Census Tract 1021.07, Los Angeles, CA",1204,18,43,45,51,9,0,30,0,25,108,180,120,108,148,136,183,166,329
06037103101,"Census Tract 1031.01, Los Angeles, CA",915,7,14,6,69,19,43,0,0,10,77,47,96,73,129,148,177,158,245
06037103102,"Census Tract 1031.02, Los Angeles, CA",1651,59,91,12,45,48,117,76,19,37,148,170,334,112,157,85,141,372,652
06037103201,"Census Tract 1032.01, Los Angeles, CA",1530,45,73,140,42,41,54,0,53,68,113,59,228,239,100,193,82,395,629
06037103202,"Census Tract 1032.02, Los Angeles, CA",660,0,0,0,42,0,12,27,47,0,0,12,48,247,45,59,121,54,128
06037103300,"Census Tract 1033, Los Angeles, CA",1203,7,63,36,4,7,31,26,0,31,59,77,122,126,92,171,351,148,264
06037103401,"Census Tract 1034.01, Los Angeles, CA",988,51,0,20,89,77,11,1,0,20,11,84,104,89,144,199,88,248,280
06037103402,"Census Tract 1034.02, Los Angeles, CA",1372,72,33,8,28,10,29,0,0,58,82,174,165,110,263,108,232,180,320
