geoid,Tract Number,Neighborhood,Location,Latitude,Longitude,Census_Tract
06037101110,101110,Tujunga,"(34.2595555, -118.293602)",34.2595555,-118.293602,Census Tract 1011.10
06037101122,101122,Tujunga,"(34.267357, -118.29024)",34.267357,-118.29024,Census Tract 1011.22
06037101210,101210,Tujunga,"(34.251998, -118.2926875)",34.251998,-118.2926875,Census Tract 1012.10
06037101220,101220,Tujunga,"(34.2511895, -118.281014)",34.2511895,-118.281014,Census Tract 1012.20
06037101300,101300,Tujunga,"(34.2455945, -118.271731)",34.2455945,-118.271731,Census Tract 1013
06037101400,101400,Tujunga,"(34.244255, -118.296428)",34.244255,-118.296428,Census Tract 1014
06037102103,102103,Shadow Hills,"(34.224155, -118.354339)",34.224155,-118.354339,Census Tract 1021.03
06037102104,102104,Shadow Hills,"(34.216189, -118.3456235)",34.216189,-118.3456235,Census Tract 1021.04
06037102105,102105,Sun Valley,"(34.210852, -118.3480495)",34.210852,-118.3480495,Census Tract 1021.05
06037102107,102107,Shadow Hills,"(34.2412955, -118.3292705)",34.2412955,-118.3292705,Census Tract 1021.07
06037103101,103101,Sunland,"(34.274431, -118.30714)",34.274431,-118.30714,Census Tract 1031.01
06037103102,103102,Sunland,"(34.262834, -118.30683)",34.262834,-118.30683,Census Tract 1031.02
06037103200,103200,Lake View Terrace,"(34.2745565, -118.3439025)",34.2745565,-118.3439025,Census Tract 1032
06037103300,103300,Shadow Hills,"(34.255439, -118.3527775)",34.255439,-118.3527775,Census Tract 1033
06037103400,103400,Sunland,"(34.253933, -118.3147245)",34.253933,-118.3147245,Census Tract 1034
06037104103,104103,Lake View Terrace,"(34.2819045, -118.3918905)",34.2819045,-118.3918905,Census Tract 1041.03
06037104105,104105,Pacoima,"(34.276146, -118.404645)",34.276146,-118.404645,Census Tract 1041.05
06037104108,104108,Pacoima,"(34.271671, -118.397614)",34.271671,-118.397614,Census Tract 1041.08
06037104124,104124,Lopez/Kagel Canyons,"(34.287866, -118.376208)",34.287866,-118.376208,Census Tract 1041.24
06037104201,104201,Pacoima,"(34.2867415, -118.4160805)",34.2867415,-118.4160805,Census Tract 1042.01
06037104203,104203,Pacoima,"(34.279058, -118.411554)",34.279058,-118.411554,Census Tract 1042.03
06037104204,104204,Lake View Terrace,"(34.2886315, -118.396898)",34.2886315,-118.396898,Census Tract 1042.04
06037104310,104310,Pacoima,"(34.2762555, -118.4293915)",34.2762555,-118.4293915,Census Tract 1043.10
06037104320,104320,Pacoima,"(34.27316, -118.4202235)",34.27316,-118.4202235,Census Tract 1043.20
06037104401,104401,Pacoima,"(34.2670615, -118.433071)",34.2670615,-118.433071,Census Tract 1044.01
06037104403,104403,Pacoima,"(34.2589085, -118.4345385)",34.2589085,-118.4345385,Census Tract 1044.03
06037104404,104404,Pacoima,"(34.2639205, -118.4286915)",34.2639205,-118.4286915,Census Tract 1044.04
06037104500,104500,Pacoima,"(34.25551, -118.4257485)",34.25551,-118.4257485,Census Tract 1045
06037104610,104610,Pacoima,"(34.2604335, -118.4189955)",34.2604335,-118.4189955,Census Tract 1046.10
06037104620,104620,Pacoima,"(34.2579045, -118.422465)",34.2579045,-118.422465,Census Tract 1046.20
06037104701,104701,Pacoima,"(34.268476, -118.4152165)",34.268476,-118.4152165,Census Tract 1047.01
06037104703,104703,Pacoima,"(34.2551165, -118.399872)",34.2551165,-118.399872,Census Tract 1047.03
06037104704,104704,Pacoima,"(34.2625155, -118.4088415)",34.2625155,-118.4088415,Census Tract 1047.04
06037104810,104810,Pacoima,"(34.2502955, -118.411179)",34.2502955,-118.411179,Census Tract 1048.10
06037104821,104821,Pacoima,"(34.2465705, -118.416294)",34.2465705,-118.416294,Census Tract 1048.21
06037104822,104822,Pacoima,"(34.245882, -118.4209225)",34.245882,-118.4209225,Census Tract 1048.22
06037106010,106010,Sylmar,"(34.3231715, -118.444538)",34.3231715,-118.444538,Census Tract 1060.10
06037106020,106020,Sylmar,"(34.320427, -118.428524)",34.320427,-118.428524,Census Tract 1060.20
06037106111,106111,Sylmar,"(34.3231945, -118.4087995)",34.3231945,-118.4087995,Census Tract 1061.11
06037106112,106112,Sylmar,"(34.305005, -118.414298)",34.305005,-118.414298,Census Tract 1061.12
06037106113,106113,Sylmar,"(34.3062, -118.42203)",34.3062,-118.42203,Census Tract 1061.13
06037106114,106114,Sylmar,"(34.302675, -118.426951)",34.302675,-118.426951,Census Tract 1061.14
06037106403,106403,Sylmar,"(34.306005, -118.441288)",34.306005,-118.441288,Census Tract 1064.03
06037106405,106405,Sylmar,"(34.3146865, -118.448309)",34.3146865,-118.448309,Census Tract 1064.05
06037106406,106406,Sylmar,"(34.321542, -118.4587415)",34.321542,-118.4587415,Census Tract 1064.06
06037106407,106407,Sylmar,"(34.3105765, -118.4365505)",34.3105765,-118.4365505,Census Tract 1064.07
06037106408,106408,Sylmar,"(34.3132585, -118.440082)",34.3132585,-118.440082,Census Tract 1064.08
06037106510,106510,Sylmar,"(34.3236325, -118.4860245)",34.3236325,-118.4860245,Census Tract 1065.10
06037106520,106520,Sylmar,"(34.308856, -118.4613605)",34.308856,-118.4613605,Census Tract 1065.20
06037106603,106603,Granada Hills,"(34.3189225, -118.5218285)",34.3189225,-118.5218285,Census Tract 1066.03
06037106604,106604,Sylmar,"(34.3042795, -118.474247)",34.3042795,-118.474247,Census Tract 1066.04
06037106641,106641,Granada Hills,"(34.298025, -118.509153)",34.298025,-118.509153,Census Tract 1066.41
06037106642,106642,Granada Hills,"(34.2863475, -118.5084525)",34.2863475,-118.5084525,Census Tract 1066.42
06037106643,106643,Granada Hills,"(34.289784, -118.524711)",34.289784,-118.524711,Census Tract 1066.43
06037106645,106645,Granada Hills,"(34.2905125, -118.4928915)",34.2905125,-118.4928915,Census Tract 1066.45
06037106646,106646,Granada Hills,"(34.2790905, -118.4941245)",34.2790905,-118.4941245,Census Tract 1066.46
06037106648,106648,Sylmar,"(34.293406, -118.4556035)",34.293406,-118.4556035,Census Tract 1066.48
06037106649,106649,Sylmar,"(34.288747, -118.4611105)",34.288747,-118.4611105,Census Tract 1066.49
06037107010,107010,Sylmar,"(34.302027, -118.446501)",34.302027,-118.446501,Census Tract 1070.10
06037107020,107020,Sylmar,"(34.2975345, -118.4503905)",34.2975345,-118.4503905,Census Tract 1070.20
06037108101,108101,Porter Ranch,"(34.280038, -118.5413715)",34.280038,-118.5413715,Census Tract 1081.01
06037108102,108102,Porter Ranch,"(34.280795, -118.55492)",34.280795,-118.55492,Census Tract 1081.02
